Javier Guerrero García ; 572704f10a5c133480a53bba ; diputados PRI
Luis Alejandro Guevara Cobos ; 572704f10a5c133480a53bbb ; diputados PRI
Mercedes del Carmen Guillén Vicente ; 572704f30a5c133480a53bbd ; diputados PRI
Alejandra Gutiérrez Campos ; 572704f40a5c133480a53bc0 ; diputados PAN
Francisco José Gutiérrez de Velasco Urtaza ; 572704f60a5c133480a53bc3 ; diputados PAN
Laura Valeria Guzmán Vázquez ; 572704f70a5c133480a53bc6 ; diputados PRI
María Hadad Castillo ; 572704f80a5c133480a53bc7 ; diputados PRI
Angie Denisse Hauffen Torres ; 572704f80a5c133480a53bc8 ; diputados MC
José Guadalupe Hernández Alcalá ; 572705060a5c133480a53bca ; diputados PRD
María Gloria Hernández Madrid ; 572705080a5c133480a53bce ; diputados PRI
Minerva Hernández Ramos ; 572705090a5c133480a53bd0 ; diputados PAN
Miguel Ángel Huepa Pérez ; 5727050b0a5c133480a53bd3 ; diputados PAN
Genoveva Huerta Villegas ; 5727050c0a5c133480a53bd4 ; diputados PAN
Álvaro Ibarra Hinojosa ; 5727050d0a5c133480a53bd6 ; diputados PRI
Víctor Ernesto Ibarra Montoya ; 5727050d0a5c133480a53bd7 ; diputados PAN
Próspero Manuel Ibarra Otero ; 5727050e0a5c133480a53bd8 ; diputados PRI
Miriam Dennis Ibarra Rangel ; 5727050f0a5c133480a53bd9 ; diputados PRI
Juan Antonio Ixtláhuac Orihuela ; 572705100a5c133480a53bdc ; diputados PRI
Jesús Gerardo Izquierdo Rojas ; 572705110a5c133480a53bdd ; diputados PVEM
Jesús Enrique Jackson Ramírez ; 572705120a5c133480a53bde ; diputados PRI
Flor Ángel Jiménez Jiménez ; 572705120a5c133480a53bdf ; diputados PRI
David Jiménez Rumbo ; 572705130a5c133480a53be1 ; diputados PRD
Erick Alejandro Lagos Hernández ; 572705160a5c133480a53be6 ; diputados PRI
Mariano Lara Salazar ; 572705170a5c133480a53be7 ; diputados PANAL
David Epifanio López Gutiérrez ; 5727051b0a5c133480a53bef ; diputados PRI
Alma Lilia Luna Munguía ; 572705260a5c133480a53bf6 ; diputados PRI
Mario Machuca Sánchez ; 572705270a5c133480a53bf7 ; diputados PVEM
Araceli Madrigal Sánchez ; 572705290a5c133480a53bfa ; diputados PRD
Salomón Majul González ; 572705290a5c133480a53bfb ; diputados PRI
Luis Maldonado Venegas ; 5727052a0a5c133480a53bfc ; diputados PRD
René Mandujano Tinajero ; 5727052a0a5c133480a53bfd ; diputados PAN
Cesáreo Jorge Márquez Alvarado ; 5727052b0a5c133480a53bfe ; diputados PVEM
Baltazar Martínez Montemayor ; 572705300a5c133480a53c03 ; diputados PAN
María Isabel Maya Pineda ; 572705340a5c133480a53c0a ; diputados PRI
Rosalina Mazari Espín ; 572705350a5c133480a53c0b ; diputados PRI
Juan Antonio Meléndez Ortega ; 572705360a5c133480a53c0d ; diputados PRI
Virgilio Mendoza Amezcua ; 572705380a5c133480a53c11 ; diputados PVEM
David Mercado Ruiz ; 572705380a5c133480a53c12 ; diputados PRI
Rosa Elena Millán Bueno ; 572705450a5c133480a53c15 ; diputados PRI
María Angélica Mondragón Orozco ; 572705460a5c133480a53c17 ; diputados PRI
Carolina Monroy Del Mazo ; 572705460a5c133480a53c18 ; diputados PRI
Angélica Moya Marín ; 572705490a5c133480a53c1d ; diputados PAN
Luis Ernesto Munguía González ; 5727054a0a5c133480a53c1e ; diputados MC
Arlette Ivette Muñoz Cervantes ; 5727054a0a5c133480a53c1f ; diputados PAN
María Verónica Muñoz Parra ; 5727054b0a5c133480a53c20 ; diputados PRI
Teodardo Muñoz Torres ; 5727054c0a5c133480a53c22 ; diputados PRI
María Guadalupe Murguía Gutiérrez ; 5727054c0a5c133480a53c23 ; diputados PAN
